legal_code,status,legal_name,last_token,region_group,frame_population_dongs,frame_screened_dongs,frame_sampling_probability,frame_weight,total_units,screen_ok,screen_error
4122031030,존재,경기도 평택시 진위면 견산리,견산리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,3084,True,
4122032026,존재,경기도 평택시 서탄면 회화리,회화리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,0,True,
4122032027,존재,경기도 평택시 서탄면 적봉리,적봉리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,0,True,
4122033028,존재,경기도 평택시 고덕면 방축리,방축리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,96,True,
4127310700,존재,경기도 안산시 단원구 초지동,초지동,수도권(경기·인천),2280,120,0.05263157894736842,19.0,30782,True,
4127311300,존재,경기도 안산시 단원구 선감동,선감동,수도권(경기·인천),2280,120,0.05263157894736842,19.0,0,True,
4128110700,존재,경기도 고양시 덕양구 북한동,북한동,수도권(경기·인천),2280,120,0.05263157894736842,19.0,0,True,
4128111100,존재,경기도 고양시 덕양구 삼송동,삼송동,수도권(경기·인천),2280,120,0.05263157894736842,19.0,9938,True,
4128111400,존재,경기도 고양시 덕양구 벽제동,벽제동,수도권(경기·인천),2280,120,0.05263157894736842,19.0,916,True,
4128111600,존재,경기도 고양시 덕양구 고양동,고양동,수도권(경기·인천),2280,120,0.05263157894736842,19.0,17122,True,
4128710500,존재,경기도 고양시 일산서구 덕이동,덕이동,수도권(경기·인천),2280,120,0.05263157894736842,19.0,20534,True,
4136025625,존재,경기도 남양주시 화도읍 금남리,금남리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,450,True,
4137010700,존재,경기도 오산시 금암동,금암동,수도권(경기·인천),2280,120,0.05263157894736842,19.0,16924,True,
4137011500,존재,경기도 오산시 서랑동,서랑동,수도권(경기·인천),2280,120,0.05263157894736842,19.0,0,True,
4137011800,존재,경기도 오산시 두곡동,두곡동,수도권(경기·인천),2280,120,0.05263157894736842,19.0,0,True,
4139012000,존재,경기도 시흥시 하상동,하상동,수도권(경기·인천),2280,120,0.05263157894736842,19.0,4958,True,
4145010200,존재,경기도 하남시 하산곡동,하산곡동,수도권(경기·인천),2280,120,0.05263157894736842,19.0,134,True,
4145010800,존재,경기도 하남시 덕풍동,덕풍동,수도권(경기·인천),2280,120,0.05263157894736842,19.0,31724,True,
4145011400,존재,경기도 하남시 감일동,감일동,수도권(경기·인천),2280,120,0.05263157894736842,19.0,8594,True,
4145011700,존재,경기도 하남시 교산동,교산동,수도권(경기·인천),2280,120,0.05263157894736842,19.0,10,True,
4146125323,존재,경기도 용인시 처인구 모현읍 초부리,초부리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,308,True,
4148010900,존재,경기도 파주시 다율동,다율동,수도권(경기·인천),2280,120,0.05263157894736842,19.0,20588,True,
4148026222,존재,경기도 파주시 조리읍 뇌조리,뇌조리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,90,True,
4148026225,존재,경기도 파주시 조리읍 오산리,오산리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,418,True,
4148038023,존재,경기도 파주시 군내면 조산리,조산리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,0,True,
4150010600,존재,경기도 이천시 진리동,진리동,수도권(경기·인천),2280,120,0.05263157894736842,19.0,162,True,
4150025022,존재,경기도 이천시 장호원읍 오남리,오남리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,32,True,
4150025025,존재,경기도 이천시 장호원읍 대서리,대서리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,0,True,
4150025032,존재,경기도 이천시 장호원읍 풍계리,풍계리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,0,True,
4150035025,존재,경기도 이천시 대월면 초지리,초지리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,1796,True,
4150035033,존재,경기도 이천시 대월면 장평리,장평리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,0,True,
4150037024,존재,경기도 이천시 설성면 제요리,제요리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,0,True,
4150038026,존재,경기도 이천시 율면 석산리,석산리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,0,True,
4155011500,존재,경기도 안성시 연지동,연지동,수도권(경기·인천),2280,120,0.05263157894736842,19.0,130,True,
4155013000,존재,경기도 안성시 신모산동,신모산동,수도권(경기·인천),2280,120,0.05263157894736842,19.0,100,True,
4155025026,존재,경기도 안성시 공도읍 승두리,승두리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,8272,True,
4155025031,존재,경기도 안성시 공도읍 진사리,진사리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,10884,True,
4155031030,존재,경기도 안성시 보개면 내방리,내방리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,0,True,
4155031037,존재,경기도 안성시 보개면 동평리,동평리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,0,True,
